url_1,url_2,label
https://twitter.com/AnneBruijne/status/1375936088968200205,https://twitter.com/KharzimShah/status/1376653595144241155,NoEntailment
https://twitter.com/WWG/status/1360981123388436489,https://twitter.com/Stevivor/status/1361075903606910976,NoEntailment
https://twitter.com/SportsTrendsCan/status/1336637206899945472,https://twitter.com/hoormakhanam/status/1339243901799030785,NoEntailment
https://twitter.com/jtbowes1/status/1336490796279742464,https://twitter.com/vinniebarbaro/status/1341081069248868353,Implies
https://twitter.com/PeacocksWBB/status/1358934899256877059,https://twitter.com/PeacocksWBB/status/1361131487077228546,NoEntailment
https://twitter.com/NudeGuyYoga/status/1354383946704936961,https://twitter.com/NudeGuyYoga/status/1371763441883615237,Implies
https://twitter.com/alshortsapp/status/1361247629309575175,https://twitter.com/Empressice3/status/1361404080057438211,NoEntailment
https://twitter.com/cameodoneron/status/1354642121647665153,https://twitter.com/Shotokhan1/status/1377375542555504647,NoEntailment
https://twitter.com/IrmixMedia/status/1382000658740576258,https://twitter.com/IrmixMedia/status/1382180579970535426,Implies
https://twitter.com/BOTT_Tweets/status/1334036815955644419,https://twitter.com/BOTT_Tweets/status/1367364885558915073,NoEntailment
https://twitter.com/wc_princealbert/status/1373049310150004738,https://twitter.com/wc_princealbert/status/1373109588472512516,NoEntailment
https://twitter.com/ToddCrocker/status/1376641001746534402,https://twitter.com/ToddCrocker/status/1380996966545522695,NoEntailment
https://twitter.com/7FiguresEsports/status/1365411806978711556,https://twitter.com/7FiguresEsports/status/1365411911123148801,NoEntailment
https://twitter.com/EverestProperty/status/1366425795611230220,https://twitter.com/EverestProperty/status/1366912318425223171,Implies
https://twitter.com/LkoSmartCity/status/1359049457367724034,https://twitter.com/LkoSmartCity/status/1381525016257437701,Contradictory
https://twitter.com/MrJayWashington/status/1334716630404755456,https://twitter.com/MrJayWashington/status/1341595677021761537,NoEntailment
https://twitter.com/MohammedanSC/status/1351462392652197890,https://twitter.com/MohammedanSC/status/1356898645065543682,NoEntailment
https://twitter.com/SkyCirclesLA/status/1380529945328320521,https://twitter.com/SkyCirclesLA/status/1380539162332340225,Contradictory
https://twitter.com/GostaFN/status/1365410788282892299,https://twitter.com/LocoEUU/status/1365714818456555520,Contradictory
https://twitter.com/ChartMill/status/1341121775485280264,https://twitter.com/ChartMill/status/1381348091601780740,Contradictory
https://twitter.com/JeromeHoegh/status/1341838236352733184,https://twitter.com/JeromeHoegh/status/1341838244263186432,Contradictory
https://twitter.com/scderox/status/1379916903599108099,https://twitter.com/scderox/status/1382091228666159104,Contradictory
https://twitter.com/plunderbund/status/1348707515488415745,https://twitter.com/kirstinalv/status/1348715452697075713,NoEntailment
https://twitter.com/lieztche/status/1378117789722931201,https://twitter.com/bowerss11/status/1381240499571453957,Implies
https://twitter.com/jammumediaa/status/1372954867178729473,https://twitter.com/jammumediaa/status/1376577693056069634,Contradictory
https://twitter.com/SloanGroup/status/1372159594089308167,https://twitter.com/CanopyOaks/status/1372161295819018240,Implies
